Data,Horário Coleta,Estação,Tempo atm.,Local de coleta,Sub-família,Tribo,Gênero,Spp. de abelha,Sexo,n° do indivíduo,Código p/ área,Comp/larg (mm) do vis.,Spp. da flor,Família da planta,Outro lugar coletado,Cor da flor,Mácula da flor,Simetria floral,Guia de Néctar visível,Aroma,Recurso coletado,Polinizador,Outro visitante
03/02/23,9:26,Verão,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,1,A3,,Maranta leuconeura,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
03/02/23,09:37,Verão,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris sp.2,,2,A4,,Maranta leuconeura,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
10/02/23,8:50,Verão,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,3,A5,,Maranta leuconeura,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
17/03/23,08:11,Verão,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,4,A7,,Maranta cristata,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
17/03/23,8:31,Verão,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,5,A8,,Maranta cristata,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
17/03/23,9:33,Verão,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris sp.3,,6,A9,,Maranta cristata,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
05/04/23,08:04,Outono,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,7,A10,,Maranta leuconeura,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
05/04/23,09:10,Outono,Sol,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,8,A11,,Maranta leuconeura,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
08/11/23,?,Primavera,?,Estrada da Torre (PEM),Apinae,Tapinotaspidini,Trigonopedia,Trigonopedia ferruginea,,9,D1,,Begonia concinna,Begoniaceae,,Branca,Amarela,Actinomorfa,,Não,Pólen,,
17/11/23,10:00,Primavera,Sol/nuvens,PNMSM (SEDE),Apinae,Osirini,Osiris,Osiris variegatus,,10,A12,,Maranta cristata,Marantaceae,,Branca,Lilás,Assimétrica,,Não,Néctar,Sim,
